# Vision-pass cost ledger: images read, one row per costed unit.
#
# Read by scripts/vision/volume_summary.py. Append a row at each pass's close-out.
# A unit is normally one title; several titles joined with " | " share one row
# when the pass only recorded their cost together. `recorded` is the date of the
# findings section the figure comes from. Lines starting with # are skipped.
#
# `calls` and `tokens_m` are the OTHER cost axis, PER TITLE: the API calls and
# the millions of cache-read tokens credited to the title from the session
# transcripts. Context re-reading is ~90% of token consumption, so these move
# the bill in a way images/page does not. Never type them in: close-out runs
#     uv run --offline python scripts/vision/usage_census.py --by-title --write-ledger
# which fills them, and keeps a row's figures once its transcripts are pruned.
# Read them per page -- `usage_census.py --trend` gives the batch-by-batch view.
#
# `note` may contain commas and is always LAST for that reason. Never add a
# column after it.
volume,titles,pages,images,calls,tokens_m,recorded,note
17,Secret of Hondorica,24,45,48,14.9,2026-09-10,forty-seventh batch
17,Dogcatcher Duck,6,6,19,8.7,2026-09-10,forty-seventh batch; page views only
17,Donald's Raucous Role,10,10,88,30.8,2026-09-10,forty-eighth batch; page views only (the batch's nine crops were all on another title)
17,Good Canoes and Bad Canoes,10,10,126,58.6,2026-09-10,forty-eighth batch; page views only (the batch's nine crops were all on another title)
17,Trouble Indemnity | The Chickadee Challenge | The Unorthodox Ox,30,44,74,19.2,2026-09-10,forty-ninth batch; costed only as a batch
17,The Custard Gun,10,20,68,21.8,2026-09-11,fiftieth batch
17,Three Un-Ducks,10,15,154,43.6,2026-09-11,fifty-second batch
17,Secret Resolutions,10,13,38,7.0,2026-09-14,fifty-third batch
17,The Ice Taxis,10,16,22,6.3,2026-09-14,fifty-fourth batch
17,Searching for a Successor,10,15,22,6.3,2026-09-14,fifty-fourth batch
17,Gopher Goof-Ups,10,20,21,11.5,2026-09-14,fifty-fifth batch
17,The Olympic Hopeful | In the Swim,20,33,69,34.7,2026-09-14,fifty-fifth batch; 18 and 15 recorded without saying which title was which
16,Land Beneath the Ground!,29,48,55,24.0,2026-09-14,fifty-sixth batch
17,Camping Confusion,10,14,30,15.0,2026-09-14,fifty-sixth batch
18,The Master,10,19,22,5.3,2026-09-15,fifty-seventh batch
18,A Whale of a Story,10,16,15,5.1,2026-09-15,fifty-seventh batch
18,Smoke Writer in the Sky,10,15,31,13.6,2026-09-15,fifty-seventh batch
16,The Lost Crown of Genghis Khan!,20,34,32,9.1,2026-09-15,fifty-eighth batch
16,Faulty Fortune,8,17,18,7.5,2026-09-15,fifty-eighth batch
18,The Runaway Train,10,11,43,25.0,2026-09-15,fifty-eighth batch
18,Statues of Limitations,10,19,24,11.3,2026-09-15,fifty-eighth batch
18,Borderline Hero,10,18,30,7.2,2026-09-16,fifty-ninth batch
16,The Second-Richest Duck,20,33,39,14.3,2026-09-16,fifty-ninth batch
16,Migrating Millions,7,12,79,19.1,2026-09-16,sixtieth batch
20,The Cat Box,4,5,14,3.0,2026-09-16,sixtieth batch
20,Grandma's Present,8,12,25,6.8,2026-09-16,sixtieth batch
18,Knight in Shining Armor,10,16,63,26.9,2026-09-16,sixtieth batch
18,Fearsome Flowers,10,29,198,86.0,2026-09-16,sixty-first batch
18,Donald's Pet Service,10,14,66,32.8,2026-09-16,sixty-first batch
16,Back to Long Ago!,21,26,88,49.8,2026-09-16,sixty-first batch
20,Forecasting Follies,4,11,146,59.6,2026-09-16,sixty-second batch
20,Fishing Mystery,4,7,22,4.6,2026-09-16,sixty-second batch
16,The Colossalest Surprise Quiz Show,6,11,38,10.9,2026-09-16,sixty-second batch
16,A Cold Bargain,27,44,140,63.1,2026-09-16,sixty-second batch (30 on the pass + 14 on the 2026-09-17 nephew re-read)
16,Land of the Pygmy Indians,27,49,116,32.9,2026-09-17,sixty-third batch
16,The Fantastic River Race,20,27,72,30.4,2026-09-17,sixty-third batch (6 of the 27 on sweater badges and a bottle label)
18,In Kakimaw Country,10,22,87,14.4,2026-09-17,sixty-fourth batch
18,The Lost Peg Leg Mine,10,20,53,14.0,2026-09-17,sixty-fourth batch
18,Losing Face,10,16,36,13.5,2026-09-17,sixty-fourth batch
18,The Day Duckburg Got Dyed,10,16,45,18.4,2026-09-17,sixty-fourth batch
20,Picnic,6,8,41,4.6,2026-09-17,sixty-fifth batch (Gyro solo; no nephews)
18,Gyro's Imagination Invention,10,22,70,19.9,2026-09-17,sixty-fifth batch
18,Red Apple Sap,10,15,44,15.6,2026-09-17,sixty-fifth batch
20,The Sure-Fire Gold Finder,4,6,36,10.4,2026-09-17,sixty-fifth batch (Gyro solo; no nephews)
18,Special Delivery,10,20,66,10.3,2026-09-18,sixty-sixth batch
18,The Code of Duckburg,10,16,82,33.3,2026-09-18,sixty-sixth batch
19,Forbidden Valley,26,30,71,27.4,2026-09-18,sixty-sixth batch (helmets from 032; caps only 025-043)
19,Sagmore Springs Hotel,10,12,39,18.0,2026-09-18,sixty-sixth batch (Scrooge disguised; few nephew calls)
19,The Tenderfoot Trap,10,18,126,70.9,2026-09-18,sixty-seventh batch
20,The Mines of King Solomon,27,38,144,90.8,2026-09-18,sixty-seventh batch (colourist clash: dialogue names a red-capped boy Louie)
20,Gyro Builds a Better House,4,13,27,3.5,2026-09-18,sixty-seventh batch (Gyro solo; the balloon-drawing test cost the images)
20,August Accident,4,11,28,5.2,2026-09-18,sixty-seventh batch (Gyro solo; same balloon-drawing test)
20,September Scrimmage,4,8,24,6.1,2026-09-18,sixty-seventh batch (football helmets; no cap key)
19,The Black Pearls of Tabu Yama,18,60,167,57.9,2026-09-19,sixty-eighth batch (OVER BUDGET at 3.33/page: cap green and palm foliage share the H106-119 band, so every green needed a head)
19,Wishing Stone Island,10,19,74,50.7,2026-09-19,sixty-eighth batch (a boy wears a toy sailor hat for two pages; named by elimination)
19,Rocket Race Around the World,10,10,22,14.6,2026-09-19,sixty-eighth batch (Gyro/Sliderule/Gladstone cast; page view alone settled every panel)
19,The Persistent Postman,10,10,40,29.8,2026-09-19,sixty-eighth batch (Donald solo mailman; no nephew is named anywhere in the title)
